contract_awarded_to,data_source,contract_award_price,contract_id,contract_title,awarding_agency_link,contract_signed_on,awarding_ministry,currency,awarding_agency,tender_description,estimated_contract_completion_date,tender_type,tender_lot_Numbers,address,scraped_time,company_email,tender_package_no,awarding_agency_ministry
STAK-FAM COMPANY LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=65,1100.0,65.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-19,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-11-02,NCT,51,KUMASI,2017-10-06 11:07:13.796735,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
BENBURTO ENTERPRISE,https://www.ppaghana.org/contractdetail.asp?Con_ID=66,2388.0,66.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-14,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-10-28,NCT,"167,149",ACCRA,2017-10-06 11:09:02.657660,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
GLOBUS HEALTHCARE SERVICES,https://www.ppaghana.org/contractdetail.asp?Con_ID=67,4480.0,67.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-05,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-10-19,NCT,106,ACCRA,2017-10-09 09:59:35.582817,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
BENBURTO ENTERPRISE,https://www.ppaghana.org/contractdetail.asp?Con_ID=68,9542.0,68.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-25,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2012-11-08,NCT,180,ACCRA,2017-10-06 11:07:31.653983,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
INVESTRADE INTERNATIONAL CO. LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=69,700.0,69.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-14,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-10-28,NCT,18,ACCRA,2017-10-06 11:07:31.498286,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
ERNEST CHEMIST LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=70,11400.0,70.0,"Supply of Non-Medicine Consumles, Laboratory & Other Items, Dental Items and Techinical Consumables for Anaesthesia Units and Patient Monitors",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1352,2011-10-14,Ministry of Health,New Ghana Cedi,Komfo Anokye Teaching Hospital,Lot 1: Laboratory Reagents and Other Consumables     Lot 2: Stationary Items     Lot 3: Clothing and Linen Items     Lot 4: Medical Expendles     Lot 5: Cleaning Items     Lot 6: Dialysis Consumles     Lot 7: Dental Items     Lot 8: Technical Consumles for Anaesthesia Units,2011-10-28,NCT,7,KUMASI,2017-10-09 09:59:55.607875,,AR/KATH/NCT/GD/04/11,Komfo Anokye Teaching Hospital /Ministry of Health
Automall Ghana Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=71,105300.0,71.0,Supply of Saloon Car,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1373,2012-08-27,Ministry of Education,New Ghana Cedi,Tamale Polytechnic,Supply of Saloon Car 2.4,2012-10-15,NCT,,"P. O. Box CT5706, Cantonment, Accra, Ghana",2017-10-06 11:07:47.126694,,NR/TAPOLY/GD/0011/2012,Tamale Polytechnic /Ministry of Education
AS Allah -Dey Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=72,221885.0,72.0,Pharmaceutical Raw Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Pharmaceutical Raw Materials,2012-08-03,NCT,,"Box 9555, Accra",2017-10-06 11:07:59.790659,,AR/GHS/2012/NCT/A.1.2/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
U. K. Chemicals Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=73,159300.0,73.0,Pharmaceutical Raw Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Pharmaceutical Raw Materials,2012-08-03,NCT,,"Box KS 5152, Kumasi",2017-10-06 11:08:51.902560,,AR/GHS/2012/NCT/A.1.2/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Kinapharma Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=74,11430.0,74.0,Pharmaceutical Raw Materials,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Pharmaceutical Raw Materials,2012-08-03,NCT,,"Box KS 921, Kumasi",2017-10-06 11:08:09.890395,,AR/GHS/2012/NCT/A.1.2/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Ernest Chemist Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=75,73580.0,75.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box 3345, Accra",2017-10-06 11:08:30.614292,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Beautiful Creation Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=76,1080.0,76.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box GP 28231, Accra",2017-10-06 11:08:10.081223,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Investrade International Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=77,774950.0,77.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box DS 389, Dansoman - Accra",2017-10-06 11:08:23.817862,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Frandak Agency,https://www.ppaghana.org/contractdetail.asp?Con_ID=78,529630.0,78.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box 15416, Accra",2017-10-06 11:08:18.140138,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Stak-Fam Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=79,41500.0,79.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box 618, Kumasi",2017-10-06 11:08:51.998088,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Bakota Meditech Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=80,135600.0,80.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box 4742, Kumasi",2017-10-06 11:08:30.521763,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
God's Power Investment Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=81,8900.0,81.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box NT 245, New-Tafo, Kumasi",2017-10-06 11:08:36.654981,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Belshaw Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=82,24882.0,82.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box CE 11542, Tema",2017-10-06 11:08:43.484260,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Munissco Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=83,5850.0,83.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box 648, Wa",2017-10-06 11:08:56.981651,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Cap Noble Agency,https://www.ppaghana.org/contractdetail.asp?Con_ID=84,25000.0,84.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box 3985, Accra",2017-10-06 11:08:54.147370,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Baron Healthcare Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=85,39440.0,85.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box BA 112, Kumasi",2017-10-06 11:09:12.996279,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Palb Pharmaceuticals Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=86,52000.0,86.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box AN 3418, Kaneshie - Accra",2017-10-06 11:09:04.522452,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Herona Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=87,1000.0,87.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box KN 229, Kaneshie - Accra",2017-10-06 11:09:10.997680,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Victor's Dream Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=88,22000.0,88.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box KS 11350, Kumasi",2017-10-06 11:09:39.801268,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Joffass Enterprise,https://www.ppaghana.org/contractdetail.asp?Con_ID=89,2500.0,89.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box KS 11699, Kumasi",2017-10-06 11:09:18.362976,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Stanbravo Company Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=90,9500.0,90.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box KJ 613, Kumasi",2017-10-06 11:09:21.922312,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
Sinopharm (Ghana) Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=91,4500.0,91.0,Non Medicine Consumables,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=693,2012-06-28,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateAshanti Region,Non Medicine CONSUMABLES,2012-08-03,NCT,,"Box MP 2951, Mamprobi Accra",2017-10-06 11:09:32.430288,,AR/GHS/2012/NCT/B.2.5/01,Office of the Regional Health DirectorateAshanti Region/Ministry of Health
,https://www.ppaghana.org/contractdetail.asp?Con_ID=93,137950.0,93.0,Procurement of 33 Seater Bus,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1362,2011-06-27,Ministry of Education,New Ghana Cedi,Ghana Institute of Management And Public Administration,,2011-07-25,NCT,1,"Toyota Ghana Company Limited. P. O. Box 1644, Accra-Ghana.",2017-10-06 11:09:34.945907,,GIMPA/NCT/GD/03/2010,Ghana Institute of Management And Public Administration/Ministry of Education
Toyota Ghana company Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=94,74700.0,94.0,Contract for The Procurement of Vehicles (Buses),https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=434,2012-07-10,Ministry of Energy and Petroleum,New Ghana Cedi,Ministry of Energy and Petroleum,Lot 1: 15 Seater Bus    Lot 2: 30 Seater Bus,2012-08-09,NCT,1,"P.O.Box 1644
Accra",2017-10-06 11:09:46.029487,,GR/MIE/GD/0003/2012,Ministry of Energy and Petroleum /Ministry of Energy and Petroleum
Japan Motors Trading Company Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=95,157710.0,95.0,Contract for The Procurement of Vehicles (Buses),https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=434,2012-07-10,Ministry of Energy and Petroleum,New Ghana Cedi,Ministry of Energy and Petroleum,Lot 1: 15 Seater Bus    Lot 2: 30 Seater Bus,2012-08-09,NCT,2,"P.O.Box AN 5216
Accra-North
Tel:0302-682223-6",2017-10-06 11:10:11.672820,,GR/MIE/GD/0003/2012,Ministry of Energy and Petroleum /Ministry of Energy and Petroleum
Tutel Business Systems Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=96,39957.75,96.0,Supply and Installation of Computers and Other Office Equipment,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=434,2012-08-31,Ministry of Energy and Petroleum,New Ghana Cedi,Ministry of Energy and Petroleum,Lot 1.1: Desktop Computers and Accessories - qty 15    Lot 1.2: UPS - qty 15    Lot 1.3: Laptop Computer - qty 3     Lot 2.1: Printers - qty 3    Lot 2.2: Scanners - qty 2    Lot 2.3: Projector     Lot 2.4: Fax Machine     Lot 2.5: Heavy-Duty Photocopiers,,NCT,1,"P.O.Box CT 2942
Cantonments-Accra
Tel: 0302-543073",2017-10-06 11:09:45.946911,,GR/MIE/GD/0007/2012,Ministry of Energy and Petroleum /Ministry of Energy and Petroleum
CFAO Ghana Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=97,344500.0,97.0,Procurement of Vehicles,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=355,2012-08-28,Ministry of Lands and Natural Resources,New Ghana Cedi,Minerals Commission,4x4 Double Cabin Pick-Up - qty 5,2012-10-28,NCT,1,"P. O. Box GP70
Accra",2017-10-06 11:10:41.698842,,GR/MCM/GD/0020/2012,Minerals Commission/Ministry of Lands and Natural Resources
Jakmal Enterprise Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=98,570054.0,98.0,Procurement of Stationery and Office Equipment,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=355,2012-09-14,Ministry of Lands and Natural Resources,New Ghana Cedi,Minerals Commission,Lot 1: Stationery (40 Assorted Items)     Lot 2: Office Equipment  i. Comb Binding Machine     ii. Photocopier (Black and White),2013-09-14,NCT,1,"P. O. Box AN 12274
Accra-North",2017-10-06 11:09:57.296001,,GR/MCM/GD/0010/2012,Minerals Commission/Ministry of Lands and Natural Resources
Berock Ventures Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=99,3302119.47,99.0,Extension to Head Office Block for Minerals Commission,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=355,2012-09-14,Ministry of Lands and Natural Resources,New Ghana Cedi,Minerals Commission,"The extension of Head Office Block for Minerals Commission, Accra.",2014-05-14,NCT,1,"P. O. Box SR 65
Spintex Road, 
Baatsonaa, Accra",2017-10-06 11:10:08.301071,,MC/WKS/12/01,Minerals Commission/Ministry of Lands and Natural Resources
Brushwell Associates Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=100,1239142.75,100.0,Remodeling of the Former Ghana Cooperative Bank,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2012-09-14,Ministry of Finance,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),"Remodeling of the Former Ghana Cooperative Bank, Kwame Nkrumah Avenue (Ground Floor) for SSNIT Branch Office at Accra Central",2013-12-03,NCT,1,"P. O. Box DC 439, 
Dansoman, Accra",2017-10-06 11:10:08.412509,,GR/SSNIT/WK/0047/2012,Social Security and National Insurance Trust (SSNIT) /Ministry of Finance
Fairgreen Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=101,855363.32,101.0,Supply of Computer Hardware,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2012-08-14,Ministry of Finance,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),Supply of Computer Hardware,2012-11-13,NCT,"1,2 & 5","P. O. Box GP 579
Accra",2017-10-06 11:10:20.348106,,GR/SSNIT/GD/0003/2012,Social Security and National Insurance Trust (SSNIT) /Ministry of Finance
Office Plus,https://www.ppaghana.org/contractdetail.asp?Con_ID=102,75929.0,102.0,Supply of Computer Hardware,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2012-07-24,Ministry of Finance,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),Supply of Computer Hardware,2012-09-18,NCT,3,"P. O. Box 16353
KIA-Accra",2017-10-06 11:10:26.083313,,GR/SSNIT/GD/0003/2012,Social Security and National Insurance Trust (SSNIT) /Ministry of Finance
